"Claim.Amount","Close.Amount","Disposition_Approve.in.Full","Disposition_Deny","Disposition_Settle","kmeansCluster"
160,80,0,0,1,2
1611,462.6,0,0,1,2
55,27.5,0,0,1,2
88.94,88.94,1,0,0,4
7,7,1,0,0,4
59.95,59.95,1,0,0,4
5,5,1,0,0,4
80,80,1,0,0,4
36.8,36.8,1,0,0,4
82,82,1,0,0,4
74.2,74.2,1,0,0,4
125,125,1,0,0,4
75,75,1,0,0,4
16,16,1,0,0,4
157.5,158,1,0,0,4
150,150,1,0,0,4
50,50,1,0,0,4
48.79,48.79,1,0,0,4
100,100,1,0,0,4
28,28,1,0,0,4
100,100,1,0,0,4
92.96,92.96,1,0,0,4
48.63,49,1,0,0,4
18.25,18.25,1,0,0,4
60,60,1,0,0,4
25,25,1,0,0,4
105,105,1,0,0,4
67.66,67.66,1,0,0,4
8.48,8.48,1,0,0,4
45.45,45.45,1,0,0,4
30,30,1,0,0,4
675,675,1,0,0,4
21.64,21.64,1,0,0,4
6,6,1,0,0,4
250,250,1,0,0,4
2168.7,2168.7,1,0,0,1
20,0,0,1,0,3
150,0,0,1,0,3
175,0,0,1,0,3
175,0,0,1,0,3
175,0,0,1,0,3
175,0,0,1,0,3
2012.5,0,0,1,0,3
193.04,0,0,1,0,3
65,0,0,1,0,3
334,0,0,1,0,3
20,0,0,1,0,3
92,0,0,1,0,3
1840.83,0,0,1,0,3
360,0,0,1,0,3
700,0,0,1,0,3
150,0,0,1,0,3
750,0,0,1,0,3
79.99,0,0,1,0,3
50,50,0,1,0,3
2600,0,0,1,0,3
2500,0,0,1,0,3
125,62.5,0,0,1,2
169,85,0,0,1,2
40,20,0,0,1,2
3200,1496.97,0,0,1,2
227.31,113.66,0,0,1,2
379.36,287.81,0,0,1,2
105,46.64,0,0,1,2
175,87.5,0,0,1,2
100,50,0,0,1,2
99,49.5,0,0,1,2
400,315,0,0,1,2
430,215,0,0,1,2
560,504,0,0,1,2
800,400,0,0,1,2
115,65,0,0,1,2
1600,809.32,0,0,1,2
100,50,0,0,1,2
79,40,0,0,1,2
20,10,0,0,1,2
1070,898.71,0,0,1,2
100,50,0,0,1,2
500,173.5,0,0,1,2
399.99,149,0,0,1,2
57.85,28.93,0,0,1,2
280,50,0,0,1,2
362,181,0,0,1,2
469,234.5,0,0,1,2
45,22.5,0,0,1,2
213.2,205,0,0,1,2
1500,600,0,0,1,2
160,80,0,0,1,2
150,50,0,0,1,2
46.59,23.29,0,0,1,2
500,250,0,0,1,2
154.34,77.17,0,0,1,2
163,81.5,0,0,1,2
1025,792.83,0,0,1,2
345.56,50,0,0,1,2
5000,1000,0,0,1,2
200,100,0,0,1,2
1823.99,312.46,0,0,1,2
330,165,0,0,1,2
340,170,0,0,1,2
157,128,0,0,1,2
85,42.5,0,0,1,2
98.37,49.19,0,0,1,2
80.98,40,0,0,1,2
1515.47,1001.01,0,0,1,2
617.69,200,0,0,1,2
380,50,0,0,1,2
150,50,0,0,1,2
89.95,45,0,0,1,2
48,48,1,0,0,4
70,70,1,0,0,4
75,75,1,0,0,4
289.98,289.98,1,0,0,4
30,30,1,0,0,4
55,55,1,0,0,4
638,638,1,0,0,4
175,175,1,0,0,4
403.77,403.77,1,0,0,4
20,20,1,0,0,4
125,125,1,0,0,4
100,100,1,0,0,4
57.95,58,1,0,0,4
186.92,186.92,1,0,0,4
65,65,1,0,0,4
790,790,1,0,0,4
400,0,0,1,0,3
690,0,0,1,0,3
332.35,0,0,1,0,3
179,0,0,1,0,3
65,0,0,1,0,3
281.37,140.69,0,0,1,2
461.8,438.71,0,0,1,2
255,127,0,0,1,2
398.68,199.39,0,0,1,2
698.48,349.24,0,0,1,2
300,150,0,0,1,2
74.45,74.45,1,0,0,4
79.97,79.97,1,0,0,4
24,24,1,0,0,4
50.67,50.67,1,0,0,4
22,22,1,0,0,4
75,75,1,0,0,4
330,330,1,0,0,4
17.7,18,1,0,0,4
109.95,0,0,1,0,3
30.31,0,0,1,0,3
10,0,0,1,0,3
3000,0,0,1,0,3
299.95,0,0,1,0,3
400,400,0,1,0,3
698,0,0,1,0,3
175,0,0,1,0,3
425,0,0,1,0,3
50,25,0,0,1,2
200,100,0,0,1,2
40,20,0,0,1,2
50,25,0,0,1,2
25,12.5,0,0,1,2
101.99,50,0,0,1,2
45.36,22.68,0,0,1,2
299,149.5,0,0,1,2
150,75,0,0,1,2
121.99,61,0,0,1,2
255.16,50,1,0,0,4
105,105,1,0,0,4
255.16,0,0,1,0,3
911,0,0,1,0,3
83.86,0,0,1,0,3
400,200,0,0,1,2
1189,570,0,0,1,2
600,300,0,0,1,2
165.9,165.9,1,0,0,4
38,38,1,0,0,4
145,145,1,0,0,4
800,800,1,0,0,4
35,35,1,0,0,4
36.99,36.99,1,0,0,4
99,99,1,0,0,4
30,30,1,0,0,4
19.58,19.58,1,0,0,4
1939.49,1939.49,1,0,0,1
10,10,1,0,0,4
250,250,1,0,0,4
150,150,1,0,0,4
669,669,1,0,0,4
52.99,53,1,0,0,4
150,150,1,0,0,4
14,14,1,0,0,4
45,45,1,0,0,4
16.23,16,1,0,0,4
600,600,1,0,0,4
100,47,1,0,0,4
242.74,242.74,1,0,0,4
16.95,16.95,1,0,0,4
126.48,126,1,0,0,4
3475,0,0,1,0,3
760,760,0,1,0,3
139.99,0,0,1,0,3
75,75,0,1,0,3
220,0,0,1,0,3
275,0,0,1,0,3
644,0,0,1,0,3
425,0,0,1,0,3
708.8,0,0,1,0,3
451,0,0,1,0,3
125,125,0,1,0,3
200,0,0,1,0,3
150,0,0,1,0,3
10,0,0,1,0,3
971,0,0,1,0,3
2000,2000,0,1,0,1
824,0,0,1,0,3
862,495.62,0,0,1,2
335,167.5,0,0,1,2
49,25,0,0,1,2
12.75,6.38,0,0,1,2
150,75,0,0,1,2
100,50,0,0,1,2
3000,1000,0,0,1,2
443,221.5,0,0,1,2
85,42.5,0,0,1,2
1501.99,1262.87,0,0,1,2
320,14,0,0,1,2
269,134.5,0,0,1,2
85.59,68.47,0,0,1,2
120,60,0,0,1,2
160,50,0,0,1,2
100,50,0,0,1,2
240,120,0,0,1,2
150,50,0,0,1,2
170,20,0,0,1,2
2000,50,0,0,1,2
2056.76,1039.99,0,0,1,2
275,137.5,0,0,1,2
30,15,0,0,1,2
200,50,0,0,1,2
325,162.5,0,0,1,2
1049.47,524.74,0,0,1,2
689.99,200,0,0,1,2
65,65,1,0,0,4
329,329,1,0,0,4
32.52,32.52,1,0,0,4
30,30,1,0,0,4
48.71,49,1,0,0,4
750,750,1,0,0,4
99.9,99.9,1,0,0,4
205,205,1,0,0,4
40,40,1,0,0,4
45,45,1,0,0,4
2200,2200,1,0,0,1
300,300,1,0,0,4
35,35,1,0,0,4
48,48,1,0,0,4
85,85,1,0,0,4
346,346,1,0,0,4
1417.49,1417.49,0,1,0,3
314.69,0,0,1,0,3
22.63,0,0,1,0,3
85.41,0,0,1,0,3
20.99,0,0,1,0,3
200,0,0,1,0,3
95,47.5,0,0,1,2
40,20,0,0,1,2
600,145.45,0,0,1,2
100,50,0,0,1,2
75,50,0,0,1,2
150,75,0,0,1,2
155,77.5,0,0,1,2
160,80,0,0,1,2
100,50,0,0,1,2
22.95,12,0,0,1,2
200,100,0,0,1,2
88.4,16.35,0,0,1,2
309,154.5,0,0,1,2
37.82,30.26,0,0,1,2
250,125,0,0,1,2
231.75,231.75,1,0,0,4
149,149,1,0,0,4
120,120,1,0,0,4
76.09,76.09,1,0,0,4
60,60,1,0,0,4
50,50,1,0,0,4
99,99,1,0,0,4
200,200,1,0,0,4
50,50,1,0,0,4
200,200,1,0,0,4
660.88,660.88,1,0,0,4
660,0,0,1,0,3
138.44,138.44,0,1,0,3
5589,0,0,1,0,3
1984,0,0,1,0,3
190.35,0,0,1,0,3
100,100,0,1,0,3
3526.64,0,0,1,0,3
108.9,0,0,1,0,3
30,0,0,1,0,3
40,0,0,1,0,3
140,0,0,1,0,3
150,0,0,1,0,3
600,0,0,1,0,3
400,0,0,1,0,3
23.72,0,0,1,0,3
180,180,0,1,0,3
99.99,0,0,1,0,3
60,30,0,0,1,2
64,32,0,0,1,2
106,53,0,0,1,2
92,87,0,0,1,2
800,422.84,0,0,1,2
300,50,0,0,1,2
240,120,0,0,1,2
236.5,118.25,0,0,1,2
25,12.5,0,0,1,2
200,50,0,0,1,2
125,50,0,0,1,2
50,25,0,0,1,2
175,150,0,0,1,2
3155.41,277.5,0,0,1,2
33085.1,1727.9,0,0,1,1
69.15,34.54,0,0,1,2
299,149.5,0,0,1,2
329,164.5,0,0,1,2
400,50,0,0,1,2
159.98,80,0,0,1,2
510,255,0,0,1,2
526.07,263.04,0,0,1,2
256.05,118.24,0,0,1,2
373.35,186.68,0,0,1,2
134.4,134,1,0,0,4
75,75,1,0,0,4
20,20,1,0,0,4
267.5,267.5,1,0,0,4
160,160,1,0,0,4
155,155,1,0,0,4
115,115,1,0,0,4
15,15,1,0,0,4
37.77,0,0,1,0,3
345,0,0,1,0,3
80,0,0,1,0,3
485,0,0,1,0,3
2500,0,0,1,0,3
300,0,0,1,0,3
197.11,50,0,0,1,2
148,148,0,0,1,2
1513.72,378.25,0,0,1,2
600,300,0,0,1,2
145,72.5,0,0,1,2
650,247.49,0,0,1,2
85.19,50,0,0,1,2
120,60,0,0,1,2
185,92.5,0,0,1,2
89.95,62.97,0,0,1,2
200,200,1,0,0,4
40,40,1,0,0,4
75,75,1,0,0,4
50,50,1,0,0,4
216.51,216.51,1,0,0,4
918.72,918.72,1,0,0,4
201,201,1,0,0,4
40,40,1,0,0,4
7.5,7.5,1,0,0,4
300,300,1,0,0,4
70,70,1,0,0,4
21,21,1,0,0,4
12,12,1,0,0,4
3.85,3.85,1,0,0,4
50,50,1,0,0,4
50,50,1,0,0,4
30,30,1,0,0,4
3500,0,0,1,0,3
500,0,0,1,0,3
800,0,0,1,0,3
172.99,0,0,1,0,3
50,0,0,1,0,3
265,0,0,1,0,3
500,0,0,1,0,3
150,0,0,1,0,3
1000,0,0,1,0,3
100,0,0,1,0,3
435,0,0,1,0,3
120,0,0,1,0,3
75,0,0,1,0,3
147,0,0,1,0,3
150,0,0,1,0,3
100,0,0,1,0,3
250,0,0,1,0,3
35,0,0,1,0,3
8.5,0,0,1,0,3
2481,0,0,1,0,3
300,150,0,0,1,2
199,119.4,0,0,1,2
100,50,0,0,1,2
30,15,0,0,1,2
129,50,0,0,1,2
122.86,61.43,0,0,1,2
175,85,0,0,1,2
102.06,51.03,0,0,1,2
125,62.5,0,0,1,2
75,50,0,0,1,2
250,125,0,0,1,2
36.75,18.37,0,0,1,2
50,30,0,0,1,2
300,150,0,0,1,2
240,50,0,0,1,2
2268.1,1768.1,0,0,1,1
100,50,0,0,1,2
150,75,0,0,1,2
107.09,53.54,0,0,1,2
119.95,60,0,0,1,2
69,39.5,0,0,1,2
64.08,32.04,0,0,1,2
240,90,0,0,1,2
99.99,50,0,0,1,2
404.25,289.95,0,0,1,2
15,7.5,0,0,1,2
49,24.5,0,0,1,2
106.18,106.18,1,0,0,4
1150,1150,1,0,0,4
80,80,1,0,0,4
810,810,1,0,0,4
16.05,16,1,0,0,4
52,52,1,0,0,4
21.2,21,1,0,0,4
105,105,1,0,0,4
30,30,1,0,0,4
76.49,76.49,1,0,0,4
100,100,1,0,0,4
30,30,1,0,0,4
100,100,1,0,0,4
60,60,1,0,0,4
12,12,1,0,0,4
20,20,1,0,0,4
100,100,1,0,0,4
275,275,1,0,0,4
47,47,1,0,0,4
31.34,31.34,1,0,0,4
40,40,1,0,0,4
20.37,20.37,1,0,0,4
350,350,1,0,0,4
200,200,1,0,0,4
175,175,1,0,0,4
25,25,1,0,0,4
6.85,6.85,1,0,0,4
399.98,399.98,1,0,0,4
70,70,1,0,0,4
80,0,0,1,0,3
558.54,0,0,1,0,3
370,0,0,1,0,3
200,0,0,1,0,3
75,0,0,1,0,3
173,0,0,1,0,3
1580,0,0,1,0,3
25,0,0,1,0,3
465,0,0,1,0,3
646.3,0,0,1,0,3
110,0,0,1,0,3
1170,0,0,1,0,3
20,0,0,1,0,3
378,0,0,1,0,3
79,79,0,1,0,3
95,0,0,1,0,3
331,0,0,1,0,3
325,0,0,1,0,3
100,0,0,1,0,3
150,0,0,1,0,3
90,0,0,1,0,3
850,0,0,1,0,3
672.05,672.05,0,1,0,3
140,140,0,1,0,3
206,206,0,1,0,3
228.14,228.14,0,1,0,3
102.83,20,0,0,1,2
949,580,0,0,1,2
80,50,0,0,1,2
700,350,0,0,1,2
60,15,0,0,1,2
20,10,0,0,1,2
50,25,0,0,1,2
517,304.5,0,0,1,2
100,50,0,0,1,2
300,150,0,0,1,2
109,50,0,0,1,2
64.99,32.5,0,0,1,2
209.98,104.99,0,0,1,2
160,130.14,0,0,1,2
200,50,0,0,1,2
35,18,0,0,1,2
320,160,0,0,1,2
200,100,0,0,1,2
200,100,0,0,1,2
106,90,0,0,1,2
200,50,0,0,1,2
35,30,0,0,1,2
29.95,15,0,0,1,2
600,300,0,0,1,2
100,25,0,0,1,2
1074.6,620,0,0,1,2
75,37.5,0,0,1,2
53,26.5,0,0,1,2
430.14,376.5,0,0,1,2
728,114,0,0,1,2
2000,1624,0,0,1,2
448,224,0,0,1,2
389,194.5,0,0,1,2
556.6,526.98,0,0,1,2
14.6,14.6,1,0,0,4
50,50,1,0,0,4
120,120,1,0,0,4
36.46,36.46,1,0,0,4
63.48,63.48,1,0,0,4
120,120,1,0,0,4
273.56,273.56,1,0,0,4
15,15,1,0,0,4
25,25,1,0,0,4
65,65,1,0,0,4
532.5,532.5,1,0,0,4
100,100,1,0,0,4
33.7,33.7,1,0,0,4
300,0,0,1,0,3
1239,1239,0,1,0,3
2150,0,0,1,0,3
2500,0,0,1,0,3
50,0,0,1,0,3
45,22.5,0,0,1,2
258.3,129.15,0,0,1,2
400,200,0,0,1,2
160,80,0,0,1,2
98.85,49.43,0,0,1,2
125,64.5,0,0,1,2
115,71.88,0,0,1,2
209,104.5,0,0,1,2
381,50,0,0,1,2
100,50,0,0,1,2
79,39.5,0,0,1,2
250,225,0,0,1,2
225,179,0,0,1,2
85,42.5,0,0,1,2
50,50,1,0,0,4
50,50,1,0,0,4
45,45,1,0,0,4
10,10,1,0,0,4
486,486,1,0,0,4
709,709,0,1,0,3
80,40,0,0,1,2
490,245,0,0,1,2
200,105,0,0,1,2
3000,0,0,1,0,3
600,0,0,1,0,3
7698,3500,0,0,1,1
99.75,99.75,1,0,0,4
20,20,1,0,0,4
18.05,18.05,1,0,0,4
55,55,1,0,0,4
2855,2855,1,0,0,1
239.36,0,0,1,0,3
600,0,0,1,0,3
739,0,0,1,0,3
250,0,0,1,0,3
5000,0,0,1,0,3
107.99,54,0,0,1,2
125,50,0,0,1,2
75,48,0,0,1,2
200,100,0,0,1,2
1605.98,1205.98,0,0,1,2
434,292.26,0,0,1,2
3600,3227.73,0,0,1,1
1559,1247.2,0,0,1,2
250,125,0,0,1,2
127,127,1,0,0,4
12,12,1,0,0,4
25,25,1,0,0,4
24.36,24.36,1,0,0,4
17.22,17.22,1,0,0,4
14.99,14.99,1,0,0,4
248.92,248.92,1,0,0,4
12.72,12.72,1,0,0,4
68,68,1,0,0,4
75,75,1,0,0,4
45,45,1,0,0,4
184.9,184.9,1,0,0,4
250,250,1,0,0,4
90.1,90.1,1,0,0,4
299.97,299.97,1,0,0,4
1732,1732,1,0,0,1
50,50,0,1,0,3
200,0,0,1,0,3
136,0,0,1,0,3
130,0,0,1,0,3
70,0,0,1,0,3
100,0,0,1,0,3
550,0,0,1,0,3
89,0,0,1,0,3
275.88,275.88,0,1,0,3
350,0,0,1,0,3
30,0,0,1,0,3
3000,0,0,1,0,3
350,0,0,1,0,3
240,120,0,0,1,2
150,136.75,0,0,1,2
250,125,0,0,1,2
960.58,641.31,0,0,1,2
51.32,15,0,0,1,2
199.48,99.74,0,0,1,2
80.92,40.46,0,0,1,2
700,350,0,0,1,2
50,25,0,0,1,2
290,75,0,0,1,2
197,98.5,0,0,1,2
25.36,20,0,0,1,2
40,36,0,0,1,2
600,300,0,0,1,2
200,50,0,0,1,2
925,647.5,0,0,1,2
250,125,0,0,1,2
900,720,0,0,1,2
430,299,0,0,1,2
251.21,244.97,0,0,1,2
100,100,1,0,0,4
269,269,1,0,0,4
101,101,1,0,0,4
226.95,226.95,1,0,0,4
50,50,1,0,0,4
75,75,1,0,0,4
24,24,1,0,0,4
30.45,30.45,1,0,0,4
15,15,1,0,0,4
5.3,5.3,1,0,0,4
480,480,1,0,0,4
20,20,1,0,0,4
60,60,1,0,0,4
70,70,1,0,0,4
460,460,1,0,0,4
800,800,1,0,0,4
50,50,1,0,0,4
35.17,30.86,1,0,0,4
45,45,1,0,0,4
172.72,172.72,1,0,0,4
527.15,527.15,1,0,0,4
15,15,1,0,0,4
179,179,1,0,0,4
50,50,1,0,0,4
23.5,23.5,1,0,0,4
10,10,1,0,0,4
20,20,1,0,0,4
35,35,1,0,0,4
75,75,1,0,0,4
65,65,1,0,0,4
80,80,1,0,0,4
310,310,1,0,0,4
500,500,1,0,0,4
75,75,1,0,0,4
125,125,1,0,0,4
159,159,1,0,0,4
63.78,64,1,0,0,4
69.95,69.95,1,0,0,4
838,0,0,1,0,3
24.02,0,0,1,0,3
50,0,0,1,0,3
169,0,0,1,0,3
900,0,0,1,0,3
225,0,0,1,0,3
110,0,0,1,0,3
75,0,0,1,0,3
209.24,0,0,1,0,3
365,0,0,1,0,3
300,0,0,1,0,3
225,0,0,1,0,3
95,0,0,1,0,3
156.22,0,0,1,0,3
2010,0,0,1,0,3
50,0,0,1,0,3
48.34,0,0,1,0,3
600,0,0,1,0,3
200,0,0,1,0,3
209.99,0,0,1,0,3
165,0,0,1,0,3
150,0,0,1,0,3
65,0,0,1,0,3
89,0,0,1,0,3
24.49,0,0,1,0,3
10,0,0,1,0,3
132,0,0,1,0,3
30,0,0,1,0,3
1315,0,0,1,0,3
160,0,0,1,0,3
21.19,0,0,1,0,3
300,240,0,0,1,2
250,200,0,0,1,2
268.46,134.23,0,0,1,2
50,25,0,0,1,2
110,55,0,0,1,2
250,125,0,0,1,2
175,87.5,0,0,1,2
60.46,30.23,0,0,1,2
4370,4370,0,0,1,1
20,10,0,0,1,2
100,50,0,0,1,2
700,450,0,0,1,2
150,75,0,0,1,2
200,180,0,0,1,2
26.5,13.25,0,0,1,2
90.99,50,0,0,1,2
41.67,21,0,0,1,2
40,38,0,0,1,2
162,221,0,0,1,2
100,50,0,0,1,2
572,238.67,0,0,1,2
1800,1798,0,0,1,1
184.93,92.47,0,0,1,2
725,235,0,0,1,2
3540,1701.7,0,0,1,1
525,300,0,0,1,2
120,108,0,0,1,2
25,25,1,0,0,4
92,92,1,0,0,4
55,55,1,0,0,4
500,500,1,0,0,4
100,100,1,0,0,4
170,170,1,0,0,4
34,34,1,0,0,4
214.42,0,0,1,0,3
250,0,0,1,0,3
100,0,0,1,0,3
239.99,0,0,1,0,3
120,120,0,1,0,3
150,0,0,1,0,3
1200,324.06,0,0,1,2
159.9,80,0,0,1,2
40,20,0,0,1,2
250,125,0,0,1,2
85.59,50,0,0,1,2
186,93,0,0,1,2
80,40,0,0,1,2
1300,650,0,0,1,2
2147,1062.95,0,0,1,2
673.5,336.75,0,0,1,2
2494.29,2015.28,0,0,1,1
49.95,50,1,0,0,4
50,50,1,0,0,4
100,100,1,0,0,4
200,200,1,0,0,4
80,80,1,0,0,4
499,499,1,0,0,4
4.95,4.95,1,0,0,4
50,50,1,0,0,4
63.64,63.64,1,0,0,4
189.44,0,0,1,0,3
2000,0,0,1,0,3
350,0,0,1,0,3
165,0,0,1,0,3
1080,0,0,1,0,3
251,0,0,1,0,3
150,0,0,1,0,3
400,0,0,1,0,3
446,223,0,0,1,2
185,92.5,0,0,1,2
300,50,0,0,1,2
200,50,0,0,1,2
206.03,102,0,0,1,2
120,60,0,0,1,2
953.18,762.54,0,0,1,2
423.58,211.99,0,0,1,2
100,80,0,0,1,2
72.08,72.08,1,0,0,4
52.99,52.99,1,0,0,4
149.99,99.07,0,0,1,2
12,12,1,0,0,4
120,120,1,0,0,4
380,380,1,0,0,4
160.78,160.78,1,0,0,4
264.94,264.91,1,0,0,4
246.81,246.81,1,0,0,4
50,50,1,0,0,4
120,120,1,0,0,4
25,25,1,0,0,4
35,35,1,0,0,4
35,35,1,0,0,4
70,70,1,0,0,4
1100,1100,1,0,0,4
30,30,1,0,0,4
39,39,1,0,0,4
64.95,64.95,1,0,0,4
244.26,244.26,1,0,0,4
44.5,44.5,1,0,0,4
80,80,1,0,0,4
105.47,105.47,1,0,0,4
60,60,1,0,0,4
15.1,15.1,1,0,0,4
65,65,1,0,0,4
550,550,1,0,0,4
138.95,138.95,1,0,0,4
30,30,1,0,0,4
100,100,1,0,0,4
11.97,11.97,1,0,0,4
187,187,1,0,0,4
49.99,50,1,0,0,4
57.27,57.27,1,0,0,4
269.99,269.99,1,0,0,4
185.65,185.65,1,0,0,4
17.25,17,1,0,0,4
85,85,1,0,0,4
90,90,1,0,0,4
39.95,40,1,0,0,4
5.39,5.39,1,0,0,4
300,300,1,0,0,4
481.48,481.48,1,0,0,4
30,30,1,0,0,4
385,385,1,0,0,4
63.56,0,1,0,0,4
28.07,28,1,0,0,4
200,200,1,0,0,4
500,500,1,0,0,4
40,40,1,0,0,4
12.99,13,1,0,0,4
25.61,25.61,1,0,0,4
285,285,1,0,0,4
649.5,649.5,1,0,0,4
100,0,0,1,0,3
12000,0,0,1,0,3
850,0,0,1,0,3
2173.64,0,0,1,0,3
17,0,0,1,0,3
350,0,0,1,0,3
570,570,0,1,0,3
100,0,0,1,0,3
6572,0,0,1,0,3
600,600,0,1,0,3
650,0,0,1,0,3
790,790,0,1,0,3
583,0,0,1,0,3
648.17,0,0,1,0,3
200,0,0,1,0,3
1008,0,0,1,0,3
237.05,0,0,1,0,3
200,0,0,1,0,3
150,0,0,1,0,3
400,0,0,1,0,3
75,0,0,1,0,3
105,0,0,1,0,3
20,0,0,1,0,3
400,0,0,1,0,3
50,0,0,1,0,3
1600,0,0,1,0,3
2456,0,0,1,0,3
200,0,0,1,0,3
485,0,0,1,0,3
250,0,0,1,0,3
1000,0,0,1,0,3
4.87,0,0,1,0,3
504,0,0,1,0,3
746.59,0,0,1,0,3
8825,0,0,1,0,3
100,0,0,1,0,3
165,0,0,1,0,3
175,0,0,1,0,3
239.9,239.9,0,1,0,3
20.09,0,0,1,0,3
375,0,0,1,0,3
3000,3000,0,1,0,1
130,0,0,1,0,3
81.7,0,0,1,0,3
128,0,0,1,0,3
250,0,0,1,0,3
1532.7,0,0,1,0,3
120,0,0,1,0,3
50,0,0,1,0,3
480,0,0,1,0,3
879,362,0,0,1,2
200,50,0,0,1,2
329.95,50,0,0,1,2
150,84.36,0,0,1,2
275.78,137.89,0,0,1,2
146,73,0,0,1,2
40,20,0,0,1,2
900,450,0,0,1,2
85,42.5,0,0,1,2
478.48,239.24,0,0,1,2
114,57,0,0,1,2
120,120,0,0,1,2
200,25,0,0,1,2
90,45,0,0,1,2
89,50,0,0,1,2
475,380,0,0,1,2
600,227.29,0,0,1,2
250,120,0,0,1,2
79.99,40,0,0,1,2
300,150,0,0,1,2
45,22.5,0,0,1,2
300,150,0,0,1,2
150,100,0,0,1,2
100,50,0,0,1,2
25,12.5,0,0,1,2
200,100,0,0,1,2
30,15,0,0,1,2
160,80,0,0,1,2
74.89,50,0,0,1,2
12000,4000,0,0,1,1
150,75,0,0,1,2
190,95,0,0,1,2
86,43,0,0,1,2
67.26,33.63,0,0,1,2
80,40,0,0,1,2
350,175,0,0,1,2
80,40,0,0,1,2
1026,513,0,0,1,2
505,202.5,0,0,1,2
129.99,20,0,0,1,2
60,55,0,0,1,2
299.94,150,0,0,1,2
125,75,0,0,1,2
1800,666.96,0,0,1,2
90,45,0,0,1,2
175,87.5,0,0,1,2
210,10,0,0,1,2
80,40,0,0,1,2
164.51,82.26,0,0,1,2
100,100,0,0,1,2
1000,409.2,0,0,1,2
225,201.49,0,0,1,2
50,25,0,0,1,2
599.95,300,0,0,1,2
400,200,0,0,1,2
1953.91,781.56,0,0,1,2
1580,448.57,0,0,1,2
280,140,0,0,1,2
200,100,0,0,1,2
250,50,0,0,1,2
350,175,0,0,1,2
200,150,0,0,1,2
125,50,0,0,1,2
449.39,224.7,0,0,1,2
38,15,0,0,1,2
40,20,0,0,1,2
150,50,0,0,1,2
260,130,0,0,1,2
479,50,0,0,1,2
150,75,0,0,1,2
554.97,501.36,0,0,1,2
175,222.56,1,0,0,4
86.59,86.59,1,0,0,4
75,75,1,0,0,4
323,323,1,0,0,4
127.89,127.89,1,0,0,4
60,60,1,0,0,4
45.26,45.26,1,0,0,4
49.95,50,1,0,0,4
180,180,1,0,0,4
40,40,1,0,0,4
22,22,1,0,0,4
70,70,1,0,0,4
23.81,24,1,0,0,4
200,0,0,1,0,3
100,0,0,1,0,3
800,0,0,1,0,3
160,0,0,1,0,3
468.98,0,0,1,0,3
30862,0,0,1,0,1
4250,0,0,1,0,3
138,69,0,0,1,2
400,200,0,0,1,2
450,360,0,0,1,2
125,62.5,0,0,1,2
275,50,0,0,1,2
2000,700.63,0,0,1,2
589.93,294.97,0,0,1,2
53,26.5,0,0,1,2
75.95,37.98,0,0,1,2
475,50,0,0,1,2
350,175,0,0,1,2
226,40,0,0,1,2
250,125,0,0,1,2
595,200,0,0,1,2
32.5,33,1,0,0,4
351.97,0,0,1,0,3
3500,0,0,1,0,3
78,48,0,0,1,2
975,975,0,0,1,2
34.22,34.22,1,0,0,4
200,200,1,0,0,4
43.11,43.11,1,0,0,4
20,20,1,0,0,4
425,425,1,0,0,4
30,30,1,0,0,4
15,15,1,0,0,4
165,165,1,0,0,4
28,28,1,0,0,4
311.62,311.62,1,0,0,4
54.38,54.38,1,0,0,4
45,45,1,0,0,4
45,45,1,0,0,4
53.82,53.82,1,0,0,4
250,0,0,1,0,3
635,0,0,1,0,3
37.89,0,0,1,0,3
155.53,0,0,1,0,3
2744.06,2744.06,0,1,0,1
1000,0,0,1,0,3
3934.95,0,0,1,0,3
3000,0,0,1,0,3
150,0,0,1,0,3
569.91,569.91,0,1,0,3
547,0,0,1,0,3
97,0,0,1,0,3
320,320,0,1,0,3
150,0,0,1,0,3
700,0,0,1,0,3
83.99,0,0,1,0,3
250,250,0,1,0,3
1700,0,0,1,0,3
139.09,0,0,1,0,3
9,0,0,1,0,3
85.19,0,0,1,0,3
59.94,59.94,0,1,0,3
2469.63,0,0,1,0,3
45,27.5,0,0,1,2
70,35,0,0,1,2
95,48,0,0,1,2
71,35.5,0,0,1,2
70,35,0,0,1,2
248.75,124.38,0,0,1,2
106.5,53.25,0,0,1,2
1100,545.82,0,0,1,2
600,300,0,0,1,2
74,37,0,0,1,2
173,86.5,0,0,1,2
2625,1312.5,0,0,1,2
196.88,98.44,0,0,1,2
263.94,197.95,0,0,1,2
20,10,0,0,1,2
360,56,0,0,1,2
100,50,0,0,1,2
1700,850,0,0,1,2
2083,706.63,0,0,1,2
36.37,19,0,0,1,2
120,60,0,0,1,2
120.62,60.31,0,0,1,2
400,200,0,0,1,2
1894,1618.85,0,0,1,2
211,105,0,0,1,2
330.96,165,0,0,1,2
891.7,214.66,0,0,1,2
868,434,0,0,1,2
100,100,1,0,0,4
300,300,1,0,0,4
24.99,0,1,0,0,4
110,110,1,0,0,4
50,50,1,0,0,4
69.15,69.15,1,0,0,4
50,50,1,0,0,4
175,175,1,0,0,4
85,85,1,0,0,4
189.99,189.99,1,0,0,4
26.61,26.61,1,0,0,4
21.59,22,1,0,0,4
65,65,1,0,0,4
115.49,115.49,1,0,0,4
95,95,1,0,0,4
33,33,1,0,0,4
50,50,1,0,0,4
